Interface,MDN Has Compabibility Data,MDN Page Exists,Expected URL
DOMMatrixReadOnly.inverse,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/inverse
DOMMatrixReadOnly.b,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/b
DOMMatrixReadOnly.isIdentity,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/isIdentity
DOMMatrixReadOnly.m11,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/m11
DOMMatrixReadOnly.d,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/d
DOMMatrixReadOnly.m13,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/m13
DOMMatrixReadOnly.m14,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/m14
DOMMatrixReadOnly.m21,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/m21
DOMMatrixReadOnly.m22,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/m22
DOMMatrixReadOnly.m23,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/m23
DOMMatrixReadOnly.m24,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/m24
DOMMatrixReadOnly.m31,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/m31
DOMMatrixReadOnly.m32,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/m32
DOMMatrixReadOnly.is2D,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/is2D
DOMMatrixReadOnly.m34,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/m34
DOMMatrixReadOnly.m41,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/m41
DOMMatrixReadOnly.m42,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/m42
DOMMatrixReadOnly.m43,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/m43
DOMMatrixReadOnly.m44,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/m44
DOMMatrixReadOnly.multiply,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/multiply
DOMMatrixReadOnly.rotate,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/rotate
DOMMatrixReadOnly.rotateAxisAngle,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/rotateAxisAngle
DOMMatrixReadOnly.rotateFromVector,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/rotateFromVector
DOMMatrixReadOnly.fromFloat32Array,true,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrixReadOnly/fromFloat32Array
DOMMatrixReadOnly.scaleNonUniform,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/scaleNonUniform
DOMMatrixReadOnly.skewX,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/skewX
DOMMatrixReadOnly.skewY,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/skewY
DOMMatrixReadOnly.toFloat32Array,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/toFloat32Array
DOMMatrixReadOnly.toFloat64Array,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/toFloat64Array
DOMMatrixReadOnly.toJSON,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/toJSON
DOMMatrixReadOnly.transformPoint,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/transformPoint
DOMMatrixReadOnly.scale3d,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/scale3d
DOMMatrixReadOnly.m12,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/m12
DOMMatrixReadOnly.m33,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/m33
DOMPointReadOnly.matrixTransform,true,false,https://developer.mozilla.org/docs/Web/API/DOMPointReadOnly/matrixTransform
DOMQuad.DOMQuad,true,false,https://developer.mozilla.org/docs/Web/API/DOMQuad/DOMQuad
DOMQuad.p1,true,false,https://developer.mozilla.org/docs/Web/API/DOMQuad/p1
DOMQuad.p2,true,false,https://developer.mozilla.org/docs/Web/API/DOMQuad/p2
DOMQuad.p3,true,false,https://developer.mozilla.org/docs/Web/API/DOMQuad/p3
DOMQuad.p4,true,false,https://developer.mozilla.org/docs/Web/API/DOMQuad/p4
DOMQuad.toJSON,true,false,https://developer.mozilla.org/docs/Web/API/DOMQuad/toJSON
DOMQuad.fromQuad,true,false,https://developer.mozilla.org/docs/Web/API/DOMQuad/fromQuad
DOMQuad.getBounds,true,false,https://developer.mozilla.org/docs/Web/API/DOMQuad/getBounds
DOMQuad.fromRect,true,false,https://developer.mozilla.org/docs/Web/API/DOMQuad/fromRect
DOMRect.fromRect,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMRect/fromRect
DOMRect.height,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMRect/height
DOMRect.width,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMRect/width
DOMRect.x,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMRect/x
DOMRect.y,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMRect/y
DOMRectReadOnly.toJSON,true,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMRectReadOnly/toJSON
HTMLCanvasElement.,false,false,https://developer.mozilla.org/en-US/docs/Web/API/HTMLCanvasElement/
ImageData.colorSpace,false,false,https://developer.mozilla.org/en-US/docs/Web/API/ImageData/colorSpace
CustomElementRegistry.CustomElementRegistry,false,false,https://developer.mozilla.org/en-US/docs/Web/API/CustomElementRegistry/CustomElementRegistry
HTMLButtonElement.checkValidity,true,false,https://developer.mozilla.org/en-US/docs/Web/API/HTMLButtonElement/checkValidity
HTMLButtonElement.form,true,false,https://developer.mozilla.org/docs/Web/API/HTMLButtonElement/form
HTMLButtonElement.formNoValidate,true,false,https://developer.mozilla.org/docs/Web/API/HTMLButtonElement/formNoValidate
HTMLButtonElement.formTarget,true,false,https://developer.mozilla.org/docs/Web/API/HTMLButtonElement/formTarget
HTMLButtonElement.name,true,false,https://developer.mozilla.org/docs/Web/API/HTMLButtonElement/name
HTMLButtonElement.reportValidity,true,false,https://developer.mozilla.org/docs/Web/API/HTMLButtonElement/reportValidity
HTMLButtonElement.setCustomValidity,true,false,https://developer.mozilla.org/en-US/docs/Web/API/HTMLButtonElement/setCustomValidity
HTMLButtonElement.type,true,false,https://developer.mozilla.org/docs/Web/API/HTMLButtonElement/type
HTMLButtonElement.validationMessage,true,false,https://developer.mozilla.org/docs/Web/API/HTMLButtonElement/validationMessage
HTMLButtonElement.validity,true,false,https://developer.mozilla.org/docs/Web/API/HTMLButtonElement/validity
HTMLButtonElement.value,true,false,https://developer.mozilla.org/docs/Web/API/HTMLButtonElement/value
HTMLButtonElement.willValidate,true,false,https://developer.mozilla.org/docs/Web/API/HTMLButtonElement/willValidate
HTMLButtonElement.formMethod,true,false,https://developer.mozilla.org/docs/Web/API/HTMLButtonElement/formMethod
HTMLButtonElement.formAction,true,false,https://developer.mozilla.org/docs/Web/API/HTMLButtonElement/formAction
